gene,num_isoforms,top_predicted_isoforms,avg_pred_total,avg_true_total
MT-CO1,1,ENST00000361624,877224.25,323845.84375
MT-ND4,1,ENST00000361381,303903.90625,155237.828125
MT-RNR2,1,ENST00000387347,294633.6875,509606.25
MT-CO3,1,ENST00000362079,281960.46875,132516.609375
MT-CO2,1,ENST00000361739,239413.625,124468.984375
ENSG00000272243,3,"ENST00000658108, ENST00000607807, ENST00000668767",208346.40625,179871.0
PIAS4,3,"ENST00000593518, ENST00000600566, ENST00000262971",164219.984375,75772.8125
MT-CYB,1,ENST00000361789,139258.765625,86013.6171875
NOP2,16,"ENST00000382421, ENST00000322166, ENST00000537708",130993.21875,88916.515625
MT-ND5,1,ENST00000361567,127443.9609375,75586.0859375
MTA2,4,"ENST00000532239, ENST00000278823, ENST00000526844",127196.40625,81055.578125
MT-ATP6,1,ENST00000361899,122804.6640625,74829.734375
MT-ND2,1,ENST00000361453,113376.015625,73140.796875
MT-ND1,1,ENST00000361390,107773.6953125,69082.6015625
ACTG1,17,"ENST00000679778, ENST00000571721, ENST00000575842",93674.453125,72360.515625
RUVBL2,9,"ENST00000601968, ENST00000640699, ENST00000596837",89938.6796875,100755.546875
ENO1,6,"ENST00000234590, ENST00000645609, ENST00000464920",87298.65625,53638.89453125
MIR6874,1,ENST00000635894,83964.9453125,87869.3671875
WDR20,8,"ENST00000558567, ENST00000299135, ENST00000555973",82127.7734375,42958.3046875
PKM,19,"ENST00000562784, ENST00000567087, ENST00000568743",75041.6796875,45240.3359375
RPLP0,13,"ENST00000551914, ENST00000546990, ENST00000552292",74912.2890625,52370.015625
DHX37,4,"ENST00000679875, ENST00000543962, ENST00000507267",73872.6796875,44119.33203125
SUPT3H,7,"ENST00000371460, ENST00000674231, ENST00000371459",73053.21875,44573.37109375
TUBA1A,5,"ENST00000550767, ENST00000295766, ENST00000552924",66973.1015625,41028.57421875
COL12A1,8,"ENST00000322507, ENST00000345356, ENST00000511023",62968.99609375,105090.390625
LINC01588,20,"ENST00000701890, ENST00000701948, ENST00000701065",57036.3984375,257827.9375
TPT1-AS1,24,"ENST00000655666, ENST00000658870, ENST00000520622",55641.234375,50396.12890625
POLE2,11,"ENST00000700175, ENST00000553805, ENST00000539565",55373.1328125,220670.28125
MLLT3,7,"ENST00000475957, ENST00000380321, ENST00000468513",53068.1484375,39419.71875
RPS2,12,"ENST00000563194, ENST00000529806, ENST00000533186",52869.54296875,40050.265625
RPL3,10,"ENST00000467105, ENST00000465618, ENST00000461967",51390.99609375,44404.66015625
LTBP3,14,"ENST00000322147, ENST00000528516, ENST00000526825",50321.66015625,44379.77734375
SNORD96A,1,ENST00000606577,50041.9609375,30311.763671875
