Running on host: n-62-20-16
Wed Dec  3 14:08:53 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           On  |   00000000:D8:00.0 Off |                    0 |
| N/A   29C    P0             25W /  250W |       0MiB /  32768MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Loading AnnData...
Data loaded.
Filtered zero-expression features: genes kept 45244/45263, isoforms kept 161990/162009
Data stats after scaling: mean -0.000, std 1.000
Epoch 001 | train 0.7950 (rec 0.7876, kl 0.3673) | val 0.7201 (rec 0.7119, kl 0.4120) | beta 0.020
Epoch 002 | train 0.6841 (rec 0.6727, kl 0.2850) | val 0.6650 (rec 0.6525, kl 0.3106) | beta 0.040
Epoch 003 | train 0.6470 (rec 0.6314, kl 0.2610) | val 0.6410 (rec 0.6252, kl 0.2624) | beta 0.060
Epoch 004 | train 0.6259 (rec 0.6059, kl 0.2503) | val 0.6222 (rec 0.6006, kl 0.2710) | beta 0.080
Epoch 005 | train 0.6101 (rec 0.5870, kl 0.2309) | val 0.6116 (rec 0.5885, kl 0.2304) | beta 0.100
Epoch 006 | train 0.6001 (rec 0.5744, kl 0.2139) | val 0.6029 (rec 0.5767, kl 0.2185) | beta 0.120
Epoch 007 | train 0.5929 (rec 0.5648, kl 0.2003) | val 0.5995 (rec 0.5718, kl 0.1978) | beta 0.140
Epoch 008 | train 0.5890 (rec 0.5591, kl 0.1870) | val 0.5943 (rec 0.5658, kl 0.1786) | beta 0.160
Epoch 009 | train 0.5957 (rec 0.5635, kl 0.1786) | val 0.5955 (rec 0.5621, kl 0.1853) | beta 0.180
Epoch 010 | train 0.5849 (rec 0.5521, kl 0.1640) | val 0.5877 (rec 0.5567, kl 0.1548) | beta 0.200
Epoch 011 | train 0.5813 (rec 0.5467, kl 0.1574) | val 0.5938 (rec 0.5599, kl 0.1541) | beta 0.220
