Running on host: n-62-20-11
Wed Dec  3 18:54:18 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-SXM2-32GB           On  |   00000000:16:00.0 Off |                    0 |
| N/A   39C    P0             41W /  300W |       0MiB /  32768MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Loading AnnData...
Data loaded.
Filtered zero-expression features: genes kept 45244/45263, isoforms kept 161990/162009
Data stats after scaling: mean -0.000, std 1.000
Using whole dataset: train 9941, val 6958, test 2983
Epoch 001 | train 0.7334 (rec 0.7253, kl 0.4085) | val 0.6521 (rec 0.6423, kl 0.4859) | beta 0.020
Epoch 002 | train 0.6327 (rec 0.6185, kl 0.3542) | val 0.6044 (rec 0.5913, kl 0.3273) | beta 0.040
Epoch 003 | train 0.6027 (rec 0.5842, kl 0.3092) | val 0.5885 (rec 0.5687, kl 0.3306) | beta 0.060
Epoch 004 | train 0.5830 (rec 0.5608, kl 0.2785) | val 0.5803 (rec 0.5596, kl 0.2585) | beta 0.080
Epoch 005 | train 0.5734 (rec 0.5485, kl 0.2493) | val 0.5719 (rec 0.5473, kl 0.2463) | beta 0.100
Epoch 006 | train 0.5693 (rec 0.5415, kl 0.2311) | val 0.5624 (rec 0.5361, kl 0.2190) | beta 0.120
Epoch 007 | train 0.5583 (rec 0.5292, kl 0.2079) | val 0.5494 (rec 0.5221, kl 0.1947) | beta 0.140
Epoch 008 | train 0.5498 (rec 0.5193, kl 0.1909) | val 0.5514 (rec 0.5219, kl 0.1849) | beta 0.160
Epoch 009 | train 0.5493 (rec 0.5169, kl 0.1802) | val 0.5432 (rec 0.5126, kl 0.1704) | beta 0.180
Epoch 010 | train 0.5379 (rec 0.5052, kl 0.1634) | val 0.5320 (rec 0.5013, kl 0.1537) | beta 0.200
Epoch 011 | train 0.5352 (rec 0.5015, kl 0.1536) | val 0.5342 (rec 0.5025, kl 0.1444) | beta 0.220
Epoch 012 | train 0.5309 (rec 0.4964, kl 0.1438) | val 0.5353 (rec 0.5020, kl 0.1387) | beta 0.240
Epoch 013 | train 0.5285 (rec 0.4931, kl 0.1363) | val 0.5256 (rec 0.4920, kl 0.1296) | beta 0.260
