Running on host: n-62-20-13
Tue Dec  2 18:38:45 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           On  |   00000000:58:00.0 Off |                    0 |
| N/A   36C    P0             25W /  250W |       0MiB /  32768MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
torch version: 2.8.0+cu128
cuda available: True device count: 1
current device: 0 name: Tesla V100-PCIE-32GB
Loading AnnData files...
Data loaded.
Filtered zero-expression features: genes kept 45244/45263, isoforms kept 161990/162009
Applying PCA with 100 components...
PCA complete: (19882, 100)
Explained variance: 0.6044 (60.44%)
Using PCA-transformed inputs: 100 components (explained variance 0.6044, 60.44%)
Using whole dataset: train 9941, val 6958, test 2983
Epoch 001 | train 8.0165 | val 3.4442 | lr 2.00e-04
Epoch 002 | train 2.1087 | val 1.5162 | lr 2.00e-04
Epoch 003 | train 1.3692 | val 1.2051 | lr 2.00e-04
Epoch 004 | train 1.2545 | val 1.1300 | lr 2.00e-04
Epoch 005 | train 1.1873 | val 1.0780 | lr 2.00e-04
Epoch 006 | train 1.1365 | val 1.0368 | lr 2.00e-04
Epoch 007 | train 1.0925 | val 0.9970 | lr 2.00e-04
Epoch 008 | train 1.0556 | val 0.9651 | lr 2.00e-04
Epoch 009 | train 1.0283 | val 0.9297 | lr 2.00e-04
Epoch 010 | train 1.0035 | val 0.9107 | lr 2.00e-04
Epoch 011 | train 0.9782 | val 0.8875 | lr 2.00e-04
Epoch 012 | train 0.9576 | val 0.8666 | lr 2.00e-04
Epoch 013 | train 0.9418 | val 0.8581 | lr 2.00e-04
Epoch 014 | train 0.9252 | val 0.8381 | lr 2.00e-04
Epoch 015 | train 0.9120 | val 0.8289 | lr 2.00e-04
Epoch 016 | train 0.9022 | val 0.8138 | lr 2.00e-04
Epoch 017 | train 0.8913 | val 0.8108 | lr 2.00e-04
Epoch 018 | train 0.8801 | val 0.7976 | lr 2.00e-04
Epoch 019 | train 0.8734 | val 0.7968 | lr 2.00e-04
Epoch 020 | train 0.8630 | val 0.7915 | lr 2.00e-04
Epoch 021 | train 0.8602 | val 0.7797 | lr 2.00e-04
Epoch 022 | train 0.8540 | val 0.7723 | lr 2.00e-04
Epoch 023 | train 0.8448 | val 0.7681 | lr 2.00e-04
Epoch 024 | train 0.8391 | val 0.7584 | lr 2.00e-04
Epoch 025 | train 0.8360 | val 0.7576 | lr 2.00e-04
Epoch 026 | train 0.8315 | val 0.7572 | lr 2.00e-04
Epoch 027 | train 0.8287 | val 0.7529 | lr 2.00e-04
Epoch 028 | train 0.8224 | val 0.7410 | lr 2.00e-04
Epoch 029 | train 0.8190 | val 0.7401 | lr 2.00e-04
Epoch 030 | train 0.8157 | val 0.7363 | lr 2.00e-04
Epoch 031 | train 0.8139 | val 0.7298 | lr 2.00e-04
Epoch 032 | train 0.8100 | val 0.7251 | lr 2.00e-04
Epoch 033 | train 0.8065 | val 0.7245 | lr 2.00e-04
Epoch 034 | train 0.8078 | val 0.7248 | lr 2.00e-04
Epoch 035 | train 0.8037 | val 0.7195 | lr 2.00e-04
Epoch 036 | train 0.7978 | val 0.7217 | lr 2.00e-04
Epoch 037 | train 0.7982 | val 0.7148 | lr 2.00e-04
Epoch 038 | train 0.7939 | val 0.7151 | lr 2.00e-04
Epoch 039 | train 0.7935 | val 0.7117 | lr 2.00e-04
Epoch 040 | train 0.7919 | val 0.7144 | lr 2.00e-04
Epoch 041 | train 0.7914 | val 0.7076 | lr 2.00e-04
Epoch 042 | train 0.7880 | val 0.7122 | lr 2.00e-04
Epoch 043 | train 0.7869 | val 0.7010 | lr 2.00e-04
Epoch 044 | train 0.7843 | val 0.7019 | lr 2.00e-04
Epoch 045 | train 0.7829 | val 0.7017 | lr 2.00e-04
Epoch 046 | train 0.7814 | val 0.6985 | lr 2.00e-04
Epoch 047 | train 0.7802 | val 0.6952 | lr 2.00e-04
