Running on host: n-62-11-15
Tue Dec  2 11:35:08 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           On  |   00000000:D8:00.0 Off |                    0 |
| N/A   40C    P0             27W /  250W |       0MiB /  32768MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
torch version: 2.8.0+cu128
cuda available: True device count: 1
current device: 0 name: Tesla V100-PCIE-32GB
Loading AnnData files...
Data loaded.
Filtered zero-expression features: genes kept 45244/45263, isoforms kept 161990/162009
Using whole dataset: train 9941, val 6958, test 2983
Epoch 001 | train 7.7168 | val 2.9442 | lr 2.00e-04
Epoch 002 | train 2.0398 | val 1.4735 | lr 2.00e-04
Epoch 003 | train 1.4044 | val 1.2532 | lr 2.00e-04
Epoch 004 | train 1.2949 | val 1.1857 | lr 2.00e-04
Epoch 005 | train 1.2436 | val 1.1539 | lr 2.00e-04
Epoch 006 | train 1.2188 | val 1.1374 | lr 2.00e-04
Epoch 007 | train 1.1906 | val 1.1043 | lr 2.00e-04
Epoch 008 | train 1.1682 | val 1.0832 | lr 2.00e-04
Epoch 009 | train 1.1371 | val 1.0551 | lr 2.00e-04
Epoch 010 | train 1.1038 | val 1.0243 | lr 2.00e-04
Epoch 011 | train 1.0717 | val 0.9894 | lr 2.00e-04
Epoch 012 | train 1.0419 | val 0.9622 | lr 2.00e-04
Epoch 013 | train 1.0170 | val 0.9410 | lr 2.00e-04
Epoch 014 | train 0.9936 | val 0.9211 | lr 2.00e-04
Epoch 015 | train 0.9769 | val 0.8924 | lr 2.00e-04
Epoch 016 | train 0.9583 | val 0.8814 | lr 2.00e-04
Epoch 017 | train 0.9413 | val 0.8627 | lr 2.00e-04
Epoch 018 | train 0.9275 | val 0.8504 | lr 2.00e-04
Epoch 019 | train 0.9165 | val 0.8417 | lr 2.00e-04
Epoch 020 | train 0.9067 | val 0.8311 | lr 2.00e-04
Epoch 021 | train 0.8995 | val 0.8200 | lr 2.00e-04
Epoch 022 | train 0.8904 | val 0.8112 | lr 2.00e-04
Epoch 023 | train 0.8810 | val 0.8087 | lr 2.00e-04
Epoch 024 | train 0.8753 | val 0.8014 | lr 2.00e-04
Epoch 025 | train 0.8721 | val 0.8024 | lr 2.00e-04
Epoch 026 | train 0.8625 | val 0.7898 | lr 2.00e-04
Epoch 027 | train 0.8608 | val 0.7829 | lr 2.00e-04
Epoch 028 | train 0.8577 | val 0.7850 | lr 2.00e-04
Epoch 029 | train 0.8529 | val 0.7814 | lr 2.00e-04
Epoch 030 | train 0.8490 | val 0.7677 | lr 2.00e-04
Epoch 031 | train 0.8425 | val 0.7769 | lr 2.00e-04
Epoch 032 | train 0.8418 | val 0.7675 | lr 2.00e-04
Epoch 033 | train 0.8362 | val 0.7584 | lr 2.00e-04
Epoch 034 | train 0.8336 | val 0.7564 | lr 2.00e-04
Epoch 035 | train 0.8311 | val 0.7551 | lr 2.00e-04
Epoch 036 | train 0.8287 | val 0.7599 | lr 2.00e-04
Epoch 037 | train 0.8248 | val 0.7556 | lr 2.00e-04
Epoch 038 | train 0.8224 | val 0.7480 | lr 2.00e-04
Epoch 039 | train 0.8190 | val 0.7453 | lr 2.00e-04
Epoch 040 | train 0.8200 | val 0.7458 | lr 2.00e-04
Epoch 041 | train 0.8154 | val 0.7378 | lr 2.00e-04
Epoch 042 | train 0.8129 | val 0.7363 | lr 2.00e-04
Epoch 043 | train 0.8106 | val 0.7329 | lr 2.00e-04
Epoch 044 | train 0.8071 | val 0.7372 | lr 2.00e-04
Epoch 045 | train 0.8078 | val 0.7336 | lr 2.00e-04
Epoch 046 | train 0.8047 | val 0.7317 | lr 2.00e-04
Epoch 047 | train 0.8051 | val 0.7359 | lr 2.00e-04
Epoch 048 | train 0.8005 | val 0.7179 | lr 2.00e-04
Epoch 049 | train 0.7994 | val 0.7235 | lr 2.00e-04
Epoch 050 | train 0.8001 | val 0.7219 | lr 2.00e-04
Epoch 051 | train 0.7961 | val 0.7183 | lr 2.00e-04
Epoch 052 | train 0.7949 | val 0.7153 | lr 2.00e-04
Epoch 053 | train 0.7926 | val 0.7170 | lr 2.00e-04
Epoch 054 | train 0.7908 | val 0.7202 | lr 2.00e-04
Epoch 055 | train 0.7899 | val 0.7185 | lr 2.00e-04
Epoch 056 | train 0.7894 | val 0.7116 | lr 2.00e-04
Epoch 057 | train 0.7889 | val 0.7164 | lr 2.00e-04
Epoch 058 | train 0.7845 | val 0.7073 | lr 2.00e-04
Epoch 059 | train 0.7884 | val 0.7090 | lr 2.00e-04
Epoch 060 | train 0.7827 | val 0.7103 | lr 2.00e-04
Epoch 061 | train 0.7852 | val 0.7072 | lr 2.00e-04
Epoch 062 | train 0.7838 | val 0.7027 | lr 2.00e-04
Epoch 063 | train 0.7809 | val 0.7043 | lr 2.00e-04
Epoch 064 | train 0.7810 | val 0.7010 | lr 2.00e-04
Epoch 065 | train 0.7796 | val 0.7025 | lr 2.00e-04
Epoch 066 | train 0.7779 | val 0.6983 | lr 2.00e-04
Epoch 067 | train 0.7766 | val 0.6959 | lr 2.00e-04
Epoch 068 | train 0.7781 | val 0.6992 | lr 2.00e-04
Epoch 069 | train 0.7765 | val 0.7013 | lr 2.00e-04
Epoch 070 | train 0.7734 | val 0.6980 | lr 2.00e-04
Epoch 071 | train 0.7738 | val 0.6984 | lr 2.00e-04
Epoch 072 | train 0.7729 | val 0.6983 | lr 2.00e-04
Epoch 073 | train 0.7737 | val 0.6936 | lr 2.00e-04
Epoch 074 | train 0.7701 | val 0.6895 | lr 2.00e-04
Epoch 075 | train 0.7688 | val 0.6890 | lr 2.00e-04
Epoch 076 | train 0.7716 | val 0.6879 | lr 2.00e-04
Epoch 077 | train 0.7707 | val 0.6872 | lr 2.00e-04
Epoch 078 | train 0.7722 | val 0.6936 | lr 2.00e-04
Epoch 079 | train 0.7677 | val 0.6888 | lr 2.00e-04
Epoch 080 | train 0.7678 | val 0.6897 | lr 2.00e-04
Epoch 081 | train 0.7688 | val 0.6841 | lr 2.00e-04
Epoch 082 | train 0.7657 | val 0.6910 | lr 2.00e-04
Epoch 083 | train 0.7663 | val 0.6876 | lr 2.00e-04
Epoch 084 | train 0.7652 | val 0.6872 | lr 2.00e-04
Epoch 085 | train 0.7633 | val 0.6817 | lr 2.00e-04
Epoch 086 | train 0.7645 | val 0.6809 | lr 2.00e-04
Epoch 087 | train 0.7663 | val 0.6815 | lr 2.00e-04
Epoch 088 | train 0.7631 | val 0.6800 | lr 2.00e-04
Epoch 089 | train 0.7625 | val 0.6793 | lr 2.00e-04
Epoch 090 | train 0.7620 | val 0.6880 | lr 2.00e-04
Epoch 091 | train 0.7600 | val 0.6820 | lr 2.00e-04
Epoch 092 | train 0.7614 | val 0.6798 | lr 2.00e-04
Epoch 093 | train 0.7589 | val 0.6772 | lr 2.00e-04
Epoch 094 | train 0.7612 | val 0.6801 | lr 2.00e-04
Epoch 095 | train 0.7611 | val 0.6810 | lr 2.00e-04
Epoch 096 | train 0.7609 | val 0.6768 | lr 2.00e-04
Epoch 097 | train 0.7593 | val 0.6734 | lr 2.00e-04
Epoch 098 | train 0.7587 | val 0.6816 | lr 2.00e-04
Epoch 099 | train 0.7571 | val 0.6772 | lr 2.00e-04
Epoch 100 | train 0.7592 | val 0.6762 | lr 2.00e-04
Epoch 101 | train 0.7566 | val 0.6758 | lr 2.00e-04
Epoch 102 | train 0.7563 | val 0.6741 | lr 2.00e-04
Epoch 103 | train 0.7577 | val 0.6718 | lr 2.00e-04
Epoch 104 | train 0.7558 | val 0.6762 | lr 2.00e-04
Epoch 105 | train 0.7549 | val 0.6778 | lr 2.00e-04
Epoch 106 | train 0.7577 | val 0.6709 | lr 2.00e-04
Epoch 107 | train 0.7556 | val 0.6700 | lr 2.00e-04
Epoch 108 | train 0.7544 | val 0.6774 | lr 2.00e-04
Epoch 109 | train 0.7534 | val 0.6757 | lr 2.00e-04
Epoch 110 | train 0.7518 | val 0.6817 | lr 2.00e-04
Epoch 111 | train 0.7528 | val 0.6725 | lr 2.00e-04
Epoch 112 | train 0.7528 | val 0.6700 | lr 2.00e-04
Epoch 113 | train 0.7520 | val 0.6684 | lr 2.00e-04
Epoch 114 | train 0.7526 | val 0.6698 | lr 2.00e-04
Epoch 115 | train 0.7538 | val 0.6691 | lr 2.00e-04
Epoch 116 | train 0.7519 | val 0.6700 | lr 2.00e-04
Epoch 117 | train 0.7526 | val 0.6726 | lr 2.00e-04
Epoch 118 | train 0.7507 | val 0.6684 | lr 2.00e-04
Epoch 119 | train 0.7514 | val 0.6650 | lr 2.00e-04
Epoch 120 | train 0.7507 | val 0.6690 | lr 2.00e-04
Epoch 121 | train 0.7509 | val 0.6739 | lr 2.00e-04
Epoch 122 | train 0.7506 | val 0.6687 | lr 2.00e-04
Epoch 123 | train 0.7487 | val 0.6679 | lr 2.00e-04
Epoch 124 | train 0.7506 | val 0.6679 | lr 2.00e-04
Epoch 125 | train 0.7500 | val 0.6652 | lr 2.00e-04
Epoch 126 | train 0.7496 | val 0.6668 | lr 2.00e-04
Epoch 127 | train 0.7471 | val 0.6636 | lr 2.00e-04
Epoch 128 | train 0.7486 | val 0.6657 | lr 2.00e-04
Epoch 129 | train 0.7461 | val 0.6630 | lr 2.00e-04
Epoch 130 | train 0.7476 | val 0.6638 | lr 2.00e-04
Epoch 131 | train 0.7481 | val 0.6594 | lr 2.00e-04
Epoch 132 | train 0.7496 | val 0.6621 | lr 2.00e-04
Epoch 133 | train 0.7473 | val 0.6645 | lr 2.00e-04
Epoch 134 | train 0.7462 | val 0.6665 | lr 2.00e-04
Epoch 135 | train 0.7465 | val 0.6630 | lr 2.00e-04
Epoch 136 | train 0.7463 | val 0.6641 | lr 2.00e-04
Epoch 137 | train 0.7467 | val 0.6619 | lr 2.00e-04
Epoch 138 | train 0.7472 | val 0.6588 | lr 2.00e-04
Epoch 139 | train 0.7455 | val 0.6623 | lr 2.00e-04
Epoch 140 | train 0.7442 | val 0.6558 | lr 2.00e-04
Epoch 141 | train 0.7436 | val 0.6629 | lr 2.00e-04
