Running on host: n-62-11-13
Thu Dec  4 19:16:30 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           On  |   00000000:D8:00.0 Off |                    0 |
| N/A   31C    P0             26W /  250W |       0MiB /  32768MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
torch version: 2.8.0+cu128
cuda available: True device count: 1
current device: 0 name: Tesla V100-PCIE-32GB
Loading AnnData files...
Data loaded.
Filtered zero-expression features: genes kept 45244/45263, isoforms kept 161990/162009
Using whole dataset: train 9941, val 6958, test 2983
Applying PCA with 512 components...
PCA complete: (9941, 512)
Explained variance: 0.7216 (72.16%)
Using PCA-transformed inputs: 512 components (explained variance 0.7216, 72.16%)
Epoch 001 | train 8.0318 | val 3.3459 | lr 2.00e-04
Epoch 002 | train 2.1073 | val 1.4289 | lr 2.00e-04
Epoch 003 | train 1.3798 | val 1.2141 | lr 2.00e-04
Epoch 004 | train 1.2678 | val 1.1508 | lr 2.00e-04
Epoch 005 | train 1.1988 | val 1.1044 | lr 2.00e-04
Epoch 006 | train 1.1471 | val 1.0680 | lr 2.00e-04
Epoch 007 | train 1.1007 | val 1.0064 | lr 2.00e-04
Epoch 008 | train 1.0662 | val 0.9706 | lr 2.00e-04
Epoch 009 | train 1.0322 | val 0.9405 | lr 2.00e-04
Epoch 010 | train 1.0064 | val 0.9192 | lr 2.00e-04
Epoch 011 | train 0.9837 | val 0.9058 | lr 2.00e-04
Epoch 012 | train 0.9616 | val 0.8763 | lr 2.00e-04
Epoch 013 | train 0.9421 | val 0.8521 | lr 2.00e-04
Epoch 014 | train 0.9279 | val 0.8442 | lr 2.00e-04
Epoch 015 | train 0.9143 | val 0.8319 | lr 2.00e-04
Epoch 016 | train 0.9018 | val 0.8229 | lr 2.00e-04
Epoch 017 | train 0.8915 | val 0.8100 | lr 2.00e-04
Epoch 018 | train 0.8819 | val 0.8028 | lr 2.00e-04
Epoch 019 | train 0.8730 | val 0.7973 | lr 2.00e-04
Epoch 020 | train 0.8681 | val 0.7810 | lr 2.00e-04
Epoch 021 | train 0.8604 | val 0.7830 | lr 2.00e-04
Epoch 022 | train 0.8549 | val 0.7809 | lr 2.00e-04
Epoch 023 | train 0.8466 | val 0.7697 | lr 2.00e-04
Epoch 024 | train 0.8434 | val 0.7677 | lr 2.00e-04
Epoch 025 | train 0.8357 | val 0.7630 | lr 2.00e-04
Epoch 026 | train 0.8321 | val 0.7540 | lr 2.00e-04
Epoch 027 | train 0.8267 | val 0.7476 | lr 2.00e-04
Epoch 028 | train 0.8236 | val 0.7479 | lr 2.00e-04
Epoch 029 | train 0.8215 | val 0.7477 | lr 2.00e-04
Epoch 030 | train 0.8177 | val 0.7400 | lr 2.00e-04
Epoch 031 | train 0.8144 | val 0.7365 | lr 2.00e-04
Epoch 032 | train 0.8124 | val 0.7403 | lr 2.00e-04
Epoch 033 | train 0.8062 | val 0.7340 | lr 2.00e-04
Epoch 034 | train 0.8038 | val 0.7256 | lr 2.00e-04
Epoch 035 | train 0.8016 | val 0.7295 | lr 2.00e-04
Epoch 036 | train 0.7998 | val 0.7227 | lr 2.00e-04
Epoch 037 | train 0.7969 | val 0.7236 | lr 2.00e-04
Epoch 038 | train 0.7943 | val 0.7210 | lr 2.00e-04
Epoch 039 | train 0.7900 | val 0.7169 | lr 2.00e-04
Epoch 040 | train 0.7900 | val 0.7093 | lr 2.00e-04
Epoch 041 | train 0.7894 | val 0.7099 | lr 2.00e-04
Epoch 042 | train 0.7858 | val 0.7097 | lr 2.00e-04
Epoch 043 | train 0.7862 | val 0.7106 | lr 2.00e-04
Epoch 044 | train 0.7849 | val 0.7077 | lr 2.00e-04
Epoch 045 | train 0.7847 | val 0.6988 | lr 2.00e-04
Epoch 046 | train 0.7807 | val 0.7014 | lr 2.00e-04
Epoch 047 | train 0.7792 | val 0.7015 | lr 2.00e-04
Epoch 048 | train 0.7782 | val 0.7012 | lr 2.00e-04
Epoch 049 | train 0.7760 | val 0.6985 | lr 2.00e-04
Epoch 050 | train 0.7743 | val 0.6959 | lr 2.00e-04
Epoch 051 | train 0.7736 | val 0.6915 | lr 2.00e-04
Epoch 052 | train 0.7728 | val 0.6904 | lr 2.00e-04
Epoch 053 | train 0.7699 | val 0.6874 | lr 2.00e-04
Epoch 054 | train 0.7714 | val 0.6909 | lr 2.00e-04
Epoch 055 | train 0.7684 | val 0.6877 | lr 2.00e-04
Epoch 056 | train 0.7669 | val 0.6856 | lr 2.00e-04
Epoch 057 | train 0.7660 | val 0.6845 | lr 2.00e-04
Epoch 058 | train 0.7670 | val 0.6841 | lr 2.00e-04
Epoch 059 | train 0.7655 | val 0.6846 | lr 2.00e-04
Epoch 060 | train 0.7627 | val 0.6868 | lr 2.00e-04
Epoch 061 | train 0.7596 | val 0.6810 | lr 2.00e-04
Epoch 062 | train 0.7622 | val 0.6840 | lr 2.00e-04
Epoch 063 | train 0.7623 | val 0.6833 | lr 2.00e-04
Epoch 064 | train 0.7620 | val 0.6816 | lr 2.00e-04
Epoch 065 | train 0.7602 | val 0.6821 | lr 2.00e-04
Epoch 066 | train 0.7588 | val 0.6783 | lr 2.00e-04
Epoch 067 | train 0.7553 | val 0.6752 | lr 2.00e-04
Epoch 068 | train 0.7570 | val 0.6826 | lr 2.00e-04
Epoch 069 | train 0.7566 | val 0.6736 | lr 2.00e-04
Epoch 070 | train 0.7542 | val 0.6742 | lr 2.00e-04
Epoch 071 | train 0.7549 | val 0.6705 | lr 2.00e-04
Epoch 072 | train 0.7557 | val 0.6690 | lr 2.00e-04
Epoch 073 | train 0.7528 | val 0.6761 | lr 2.00e-04
Epoch 074 | train 0.7534 | val 0.6658 | lr 2.00e-04
Epoch 075 | train 0.7532 | val 0.6702 | lr 2.00e-04
Epoch 076 | train 0.7499 | val 0.6734 | lr 2.00e-04
Epoch 077 | train 0.7514 | val 0.6753 | lr 2.00e-04
Epoch 078 | train 0.7504 | val 0.6729 | lr 2.00e-04
Epoch 079 | train 0.7497 | val 0.6737 | lr 2.00e-04
Epoch 080 | train 0.7513 | val 0.6671 | lr 2.00e-04
Epoch 081 | train 0.7472 | val 0.6680 | lr 2.00e-04
Epoch 082 | train 0.7484 | val 0.6731 | lr 2.00e-04
Epoch 083 | train 0.7467 | val 0.6701 | lr 2.00e-04
Epoch 084 | train 0.7480 | val 0.6725 | lr 2.00e-04
Epoch 085 | train 0.7472 | val 0.6654 | lr 2.00e-04
Epoch 086 | train 0.7475 | val 0.6681 | lr 2.00e-04
Epoch 087 | train 0.7455 | val 0.6657 | lr 2.00e-04
Epoch 088 | train 0.7439 | val 0.6656 | lr 2.00e-04
Epoch 089 | train 0.7448 | val 0.6605 | lr 2.00e-04
Epoch 090 | train 0.7445 | val 0.6638 | lr 2.00e-04
Epoch 091 | train 0.7434 | val 0.6615 | lr 2.00e-04
Epoch 092 | train 0.7420 | val 0.6619 | lr 2.00e-04
Epoch 093 | train 0.7419 | val 0.6679 | lr 2.00e-04
Epoch 094 | train 0.7427 | val 0.6613 | lr 2.00e-04
Epoch 095 | train 0.7435 | val 0.6595 | lr 2.00e-04
Epoch 096 | train 0.7425 | val 0.6649 | lr 2.00e-04
Epoch 097 | train 0.7426 | val 0.6555 | lr 2.00e-04
Epoch 098 | train 0.7432 | val 0.6535 | lr 2.00e-04
Epoch 099 | train 0.7398 | val 0.6554 | lr 2.00e-04
Epoch 100 | train 0.7392 | val 0.6607 | lr 2.00e-04
Epoch 101 | train 0.7413 | val 0.6590 | lr 2.00e-04
Epoch 102 | train 0.7398 | val 0.6603 | lr 2.00e-04
Epoch 103 | train 0.7405 | val 0.6580 | lr 2.00e-04
Epoch 104 | train 0.7399 | val 0.6578 | lr 2.00e-04
Epoch 105 | train 0.7370 | val 0.6579 | lr 2.00e-04
Epoch 106 | train 0.7393 | val 0.6617 | lr 2.00e-04
Epoch 107 | train 0.7370 | val 0.6524 | lr 2.00e-04
Epoch 108 | train 0.7377 | val 0.6558 | lr 2.00e-04
Epoch 109 | train 0.7350 | val 0.6527 | lr 2.00e-04
Epoch 110 | train 0.7382 | val 0.6533 | lr 2.00e-04
Epoch 111 | train 0.7369 | val 0.6588 | lr 2.00e-04
Epoch 112 | train 0.7370 | val 0.6567 | lr 2.00e-04
Epoch 113 | train 0.7343 | val 0.6511 | lr 2.00e-04
Epoch 114 | train 0.7380 | val 0.6584 | lr 2.00e-04
Epoch 115 | train 0.7351 | val 0.6504 | lr 2.00e-04
Epoch 116 | train 0.7342 | val 0.6503 | lr 2.00e-04
Epoch 117 | train 0.7332 | val 0.6536 | lr 2.00e-04
Epoch 118 | train 0.7353 | val 0.6469 | lr 2.00e-04
Epoch 119 | train 0.7342 | val 0.6480 | lr 2.00e-04
Epoch 120 | train 0.7326 | val 0.6546 | lr 2.00e-04
Epoch 121 | train 0.7343 | val 0.6478 | lr 2.00e-04
Epoch 122 | train 0.7353 | val 0.6590 | lr 2.00e-04
Epoch 123 | train 0.7348 | val 0.6485 | lr 2.00e-04
Epoch 124 | train 0.7344 | val 0.6514 | lr 2.00e-04
Epoch 125 | train 0.7345 | val 0.6503 | lr 2.00e-04
Epoch 126 | train 0.7334 | val 0.6439 | lr 2.00e-04
Epoch 127 | train 0.7354 | val 0.6488 | lr 2.00e-04
Epoch 128 | train 0.7313 | val 0.6459 | lr 2.00e-04
